City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Lorengau,PG,84.54,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Victoria,HK,88.25,overcast clouds,22.2855,114.1577,Mini Central
16,Nianzishan,CN,85.77,broken clouds,47.5167,122.8833,Jinhong Hotel
28,Ribeira Grande,PT,75.33,light rain,38.5167,-28.7,Quinta da Meia Eira
32,Faanui,PF,77.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Atuona,PF,77.74,few clouds,-9.8,-139.0333,Villa Enata
35,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
37,Rincon,US,83.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
39,Butaritari,KI,82.87,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Den Chai,TH,84.27,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
42,Remanso,BR,75.94,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
43,Bengkulu,ID,83.12,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
49,Kapaa,US,80.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
55,Sorong,ID,80.51,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
58,Vermilion,US,77.61,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
60,Bethel,US,77.9,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
63,Moussoro,TD,77.95,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
66,Katsuura,JP,77.94,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
67,Khed,IN,77.65,overcast clouds,17.7167,73.3833,Swagat Lodge
70,Hithadhoo,MV,82.27,broken clouds,-0.6,73.0833,Scoop Guest House
85,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
87,Westport,US,79.09,scattered clouds,41.1415,-73.3579,The Westport Inn
89,Yadgir,IN,78.89,overcast clouds,16.7667,77.1333,"SLV Hotel,Yadgir"
90,Karaton,ID,85.69,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
93,Miguelopolis,BR,75.02,clear sky,-20.1794,-48.0319,Las Vegas Motel
94,Labuhan,ID,86.38,few clouds,-6.8844,112.2051,DoubleFAG
99,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
100,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
101,Tautira,PF,75.96,light rain,-17.7333,-149.15,Pension Oaoa
106,Valle De Allende,MX,78.73,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
117,Hillsboro,US,75.34,clear sky,45.5229,-122.9898,Budget Inn-Hillsboro
120,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
124,Mogadishu,SO,75.33,light rain,2.0371,45.3438,Hotel Juba
125,Tuktoyaktuk,CA,75.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
127,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
134,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
137,Nishihara,JP,87.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
138,Samarai,PG,81.0,scattered clouds,-10.6167,150.6667,Nuli Sapi
145,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
146,Atar,MR,88.79,clear sky,20.5169,-13.0499,Oumou Elghoura
148,Buala,SB,86.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
149,Saint Anthony,US,80.92,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
152,Kieta,PG,84.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
157,Port Blair,IN,80.64,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Chitral,PK,80.6,clear sky,35.8462,71.7858,PTDC Motel Chitral
161,Manbij,SY,79.63,clear sky,36.5281,37.9549,Manbej City Hotel
163,Kahului,US,89.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
169,Amahai,ID,77.59,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
173,Dalnerechensk,RU,82.65,broken clouds,45.9339,133.7225,"Royal Cafe, Bar, Hotel"
175,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
176,Bat Khela,PK,83.16,scattered clouds,34.6167,71.9714,Electric and pipe fitting
177,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
180,Rocky Mount,US,80.76,clear sky,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
182,Dawei,MM,77.16,overcast clouds,14.0833,98.2,Hotel Dawei
184,Sabaudia,IT,80.2,scattered clouds,41.3003,13.0282,Oasi di Kufra
185,Sawakin,SD,88.09,broken clouds,19.1059,37.3321,فندق الدويم
188,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
197,Luwuk,ID,78.13,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
198,Shwebo,MM,87.35,light rain,22.5667,95.7,MOON SHINE Guest House
215,Porbandar,IN,80.58,haze,21.6422,69.6093,Lords Inn Porbandar
216,Shingu,JP,83.89,broken clouds,33.7333,135.9833,Shingu UI Hotel
218,Palu,ID,86.05,broken clouds,-0.8917,119.8707,Hotel Santika Palu
219,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
223,Dingle,PH,84.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
225,Praia,CV,77.2,overcast clouds,14.9215,-23.5087,LT Aparthotel
