City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,58.87,60,99,3.76,overcast clouds
1,Hilo,US,19.7297,-155.09,86.29,99,56,4.0,broken clouds
2,Qaanaaq,GL,77.484,-69.3632,36.0,66,19,3.42,few clouds
3,College,US,64.8569,-147.8028,55.08,85,100,1.99,overcast clouds
4,Sawtell,AU,-30.3833,153.1,74.19,56,29,11.5,scattered clouds
5,Baruun-Urt,MN,46.6806,113.2792,66.52,72,98,16.24,overcast clouds
6,Rwamagana,RW,-1.9487,30.4347,62.04,75,66,2.3,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,70.43,59,79,17.43,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,53.56,88,99,3.51,overcast clouds
9,Busselton,AU,-33.65,115.3333,58.55,62,99,12.84,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,5.75,clear sky
11,Lorengau,PG,-2.0226,147.2712,84.54,68,45,5.48,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,57.47,67,54,4.97,broken clouds
13,Thompson,CA,55.7435,-97.8558,46.56,93,100,17.27,overcast clouds
14,Ampanihy,MG,-24.7,44.75,60.82,91,7,4.56,clear sky
15,Victoria,HK,22.2855,114.1577,88.25,84,89,11.99,overcast clouds
16,Nianzishan,CN,47.5167,122.8833,85.77,35,76,7.05,broken clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,73,7.0,broken clouds
18,Tasiilaq,GL,65.6145,-37.6368,36.84,74,97,3.89,overcast clouds
19,Chuy,UY,-33.6971,-53.4616,44.13,91,2,3.98,clear sky
20,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,40,3.44,scattered clouds
21,Rionero In Vulture,IT,40.9257,15.67,66.94,71,0,5.21,clear sky
22,Husavik,IS,66.0449,-17.3389,50.43,71,72,6.78,broken clouds
23,Poum,NC,-20.2333,164.0167,75.88,81,15,7.83,few clouds
24,Kiruna,SE,67.8557,20.2251,40.12,87,50,3.44,scattered clouds
25,Severo-Kurilsk,RU,50.6789,156.125,59.23,78,95,6.31,overcast clouds
26,Mujiayingzi,CN,42.1167,118.7833,90.05,31,98,3.18,overcast clouds
27,Albany,US,42.6001,-73.9662,75.79,87,96,2.46,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,75.33,84,92,11.63,light rain
29,Ushuaia,AR,-54.8,-68.3,33.46,86,20,2.3,few clouds
30,Saint George,US,37.1041,-113.5841,90.19,37,0,6.91,clear sky
31,Souillac,MU,-20.5167,57.5167,64.78,88,40,3.44,scattered clouds
32,Faanui,PF,-16.4833,-151.75,77.34,78,68,24.29,light rain
33,Atuona,PF,-9.8,-139.0333,77.74,71,12,15.7,few clouds
34,Saravena,CO,6.9538,-71.8752,70.72,98,71,3.18,broken clouds
35,Avarua,CK,-21.2078,-159.775,75.25,69,75,13.8,broken clouds
36,Burnie,AU,-41.0667,145.9167,56.95,55,21,6.29,few clouds
37,Rincon,US,32.296,-81.2354,83.86,90,40,4.61,scattered clouds
38,Bonavista,CA,48.6499,-53.1147,64.15,95,70,12.3,broken clouds
39,Butaritari,KI,3.0707,172.7902,82.87,73,84,11.79,broken clouds
40,Den Chai,TH,17.9837,100.0522,84.27,80,94,2.89,overcast clouds
41,Ballina,AU,-28.8667,153.5667,72.01,61,86,9.91,overcast clouds
42,Remanso,BR,-9.6179,-42.0831,75.94,56,27,11.48,scattered clouds
43,Bengkulu,ID,-3.8004,102.2655,83.12,64,8,3.85,clear sky
44,Ponta Do Sol,PT,32.6667,-17.1,74.07,80,16,5.41,few clouds
45,Khatanga,RU,71.9667,102.5,68.95,57,29,7.92,scattered clouds
46,Okha,RU,53.5739,142.9478,60.01,76,57,23.35,broken clouds
47,Tessalit,ML,20.1986,1.0114,88.59,38,46,7.63,scattered clouds
48,Roald,NO,62.5833,6.1333,54.75,100,100,10.36,light rain
49,Kapaa,US,22.0752,-159.319,80.47,77,22,3.0,few clouds
50,Klaksvik,FO,62.2266,-6.589,50.92,83,80,7.78,broken clouds
51,Swan River,CA,52.1058,-101.2676,58.89,77,99,13.8,overcast clouds
52,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,4.61,clear sky
53,Lagoa,PT,39.05,-27.9833,74.01,86,60,11.5,light rain
54,Lieksa,FI,63.3167,30.0167,65.39,71,43,12.71,scattered clouds
55,Sorong,ID,-0.8833,131.25,80.51,80,91,6.96,overcast clouds
56,Bluff,NZ,-46.6,168.3333,57.79,71,35,10.38,scattered clouds
57,Haines Junction,CA,60.7522,-137.5108,66.15,39,100,6.91,overcast clouds
58,Vermilion,US,40.1667,-87.7506,77.61,92,3,5.79,clear sky
59,Cape Town,ZA,-33.9258,18.4232,55.89,91,40,13.8,scattered clouds
60,Bethel,US,41.3712,-73.414,77.9,91,69,3.31,broken clouds
61,Airai,TL,-8.9266,125.4092,76.3,48,41,3.69,scattered clouds
62,Maniitsoq,GL,65.4167,-52.9,41.54,98,100,8.32,overcast clouds
63,Moussoro,TD,13.6408,16.4901,77.95,77,100,10.85,light rain
64,New Norfolk,AU,-42.7826,147.0587,47.71,68,64,4.0,broken clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,42.94,89,0,3.44,clear sky
66,Katsuura,JP,35.1333,140.3,77.94,72,100,7.67,overcast clouds
67,Khed,IN,17.7167,73.3833,77.65,94,100,5.06,overcast clouds
68,Grand Gaube,MU,-20.0064,57.6608,68.38,74,4,5.01,clear sky
69,Castro,BR,-24.7911,-50.0119,53.42,96,19,7.2,few clouds
70,Hithadhoo,MV,-0.6,73.0833,82.27,73,76,10.96,broken clouds
71,Hermanus,ZA,-34.4187,19.2345,53.8,82,97,9.98,overcast clouds
72,Saint-Philippe,RE,-21.3585,55.7679,65.21,66,8,9.17,clear sky
73,Amazar,RU,53.858,120.875,71.11,42,100,7.09,overcast clouds
74,Mocuba,MZ,-16.8392,36.9856,60.6,98,8,3.2,clear sky
75,Stornoway,GB,58.2093,-6.3865,52.93,93,100,10.36,light rain
76,Emba,KZ,48.8264,58.1442,76.68,32,84,16.73,broken clouds
77,Qeshm,IR,26.9581,56.2719,91.27,73,0,5.17,clear sky
78,Bushehr,IR,28.9684,50.8385,93.29,70,2,9.22,haze
79,Iqaluit,CA,63.7506,-68.5145,44.33,93,100,2.3,light rain
80,Tabou,CI,4.423,-7.3528,73.53,74,47,4.47,scattered clouds
81,Saint-Joseph,RE,-21.3667,55.6167,64.2,66,7,6.04,clear sky
82,Yellowknife,CA,62.456,-114.3525,64.92,42,20,5.75,few clouds
83,Ancud,CL,-41.8697,-73.8203,39.22,87,5,7.54,clear sky
84,Provideniya,RU,64.3833,-173.3,50.63,62,58,12.66,broken clouds
85,Kavieng,PG,-2.5744,150.7967,83.88,68,88,0.31,overcast clouds
86,Barra Patuca,HN,15.8,-84.2833,76.06,92,100,5.91,overcast clouds
87,Westport,US,41.1415,-73.3579,79.09,90,49,3.0,scattered clouds
88,Port Alfred,ZA,-33.5906,26.891,58.06,80,81,10.74,broken clouds
89,Yadgir,IN,16.7667,77.1333,78.89,78,100,10.89,overcast clouds
90,Karaton,ID,-6.3424,106.1045,85.69,62,100,0.92,overcast clouds
91,Huarmey,PE,-10.0681,-78.1522,62.01,86,63,10.18,broken clouds
92,Bida,NG,9.0833,6.0167,74.75,80,100,1.05,overcast clouds
93,Miguelopolis,BR,-20.1794,-48.0319,75.02,42,1,1.7,clear sky
94,Labuhan,ID,-6.8844,112.2051,86.38,52,21,1.66,few clouds
95,Cidreira,BR,-30.1811,-50.2056,50.07,77,4,5.48,clear sky
96,Odweyne,SO,9.4092,45.064,71.49,54,1,20.38,clear sky
97,Vao,NC,-22.6667,167.4833,73.44,81,11,9.86,few clouds
98,Henties Bay,NA,-22.116,14.2845,55.9,83,5,2.44,clear sky
99,Norman Wells,CA,65.282,-126.8329,75.24,41,75,4.61,broken clouds
100,Georgetown,MY,5.4112,100.3354,87.75,67,20,6.91,few clouds
101,Tautira,PF,-17.7333,-149.15,75.96,81,95,28.03,light rain
102,Saint-Pierre,RE,-21.3393,55.4781,68.92,61,20,5.75,few clouds
103,Barra Do Garcas,BR,-15.89,-52.2567,71.8,35,21,1.45,few clouds
104,Moose Factory,CA,51.2585,-80.6094,73.4,60,100,12.66,overcast clouds
105,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,67.21,66,100,13.65,light rain
106,Valle De Allende,MX,26.9333,-105.4,78.73,34,99,16.06,overcast clouds
107,Birin,NP,26.8865,88.0718,70.84,83,100,2.95,overcast clouds
108,Dolores,AR,-36.3132,-57.6792,43.03,75,14,3.58,few clouds
109,Lebu,CL,-37.6167,-73.65,50.25,91,100,0.89,overcast clouds
110,Edd,ER,13.9297,41.6925,89.1,62,87,7.52,overcast clouds
111,Jamestown,US,42.097,-79.2353,73.71,69,40,4.61,scattered clouds
112,Kuito,AO,-12.3833,16.9333,51.62,42,18,3.11,few clouds
113,East London,ZA,-33.0153,27.9116,56.34,88,0,11.5,clear sky
114,Arraial Do Cabo,BR,-22.9661,-42.0278,69.6,79,55,15.43,broken clouds
115,Cairns,AU,-16.9167,145.7667,93.07,70,24,6.91,few clouds
116,Hobart,AU,-42.8794,147.3294,48.06,81,75,12.66,broken clouds
117,Hillsboro,US,45.5229,-122.9898,75.34,50,0,1.99,clear sky
118,Chokurdakh,RU,70.6333,147.9167,59.77,44,13,6.78,few clouds
119,Sitka,US,57.0531,-135.33,56.75,99,100,8.21,moderate rain
120,Santa Rosa,PH,14.3122,121.1114,85.08,77,100,4.68,overcast clouds
121,Norashen,AM,39.9996,44.5895,74.73,49,0,2.59,clear sky
122,Barrow,US,71.2906,-156.7887,39.22,93,100,8.05,overcast clouds
123,Birao,CF,10.2849,22.7882,69.78,98,97,4.54,overcast clouds
124,Mogadishu,SO,2.0371,45.3438,75.33,83,84,17.92,light rain
125,Tuktoyaktuk,CA,69.4541,-133.0374,75.2,46,75,8.05,broken clouds
126,Kaitangata,NZ,-46.2817,169.8464,55.58,71,91,5.55,light rain
127,Mount Isa,AU,-20.7333,139.5,76.77,29,41,13.8,scattered clouds
128,Pueblo Nuevo,MX,23.3833,-105.3833,56.66,95,99,6.33,overcast clouds
129,Ossora,RU,59.2353,163.0719,64.06,73,43,6.6,scattered clouds
130,Faya,SA,18.3851,42.4509,64.51,71,95,2.64,overcast clouds
131,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,68,20,13.42,few clouds
132,Partizan,RU,53.9502,38.098,69.66,71,13,6.53,few clouds
133,Belyy Yar,RU,53.6039,91.3903,67.89,50,0,4.47,clear sky
134,Hasaki,JP,35.7333,140.8333,81.28,70,100,6.89,overcast clouds
135,Koungheul,SN,13.9833,-14.8,74.34,94,100,6.11,overcast clouds
136,Vila Velha,BR,-20.3297,-40.2925,73.35,86,0,2.3,clear sky
137,Nishihara,JP,26.1842,127.7558,87.08,74,40,9.22,scattered clouds
138,Samarai,PG,-10.6167,150.6667,81.0,81,34,12.06,scattered clouds
139,Lasa,IT,46.6166,10.7002,59.36,84,55,3.94,broken clouds
140,La Ronge,CA,55.1001,-105.2842,53.82,82,40,2.3,scattered clouds
141,Torbay,CA,47.6666,-52.7314,66.58,92,100,17.27,overcast clouds
142,Olinda,BR,-8.0089,-34.8553,73.13,83,40,1.14,scattered clouds
143,Esperance,AU,-33.8667,121.9,57.72,54,52,11.59,broken clouds
144,Biskamzha,RU,53.4497,89.5272,68.34,46,1,0.65,clear sky
145,Vaini,TO,-21.2,-175.2,78.96,94,75,10.36,broken clouds
